Date,Open,High,Low,Close,Adj Close,Volume,,
01/02/2014,1.644304,1.682114,1.625911,1.669198,1.669198,0,,
01/03/2014,1.674509,1.6785,1.646389,1.664392,1.664392,0,,
01/04/2014,1.666611,1.689703,1.655931,1.682425,1.682425,0,,
01/05/2014,1.687707,1.69964,1.669811,1.675912,1.675912,0,,
01/06/2014,1.675912,1.711303,1.670007,1.703403,1.703403,0,,
01/07/2014,1.71101,1.718715,1.685971,1.691017,1.691017,0,,
01/08/2014,1.68899,1.689303,1.651991,1.65909,1.65909,0,,
01/09/2014,1.659228,1.664531,1.605497,1.62422,1.62422,0,,
01/10/2014,1.621455,1.624986,1.588007,1.600102,1.600102,0,,
01/11/2014,1.599795,1.60241,1.5596,1.561305,1.561305,0,,
01/12/2014,1.56167,1.577635,1.548995,1.556905,1.556905,0,,
01/01/2015,1.558094,1.558458,1.495461,1.507,1.507,0,,
01/02/2015,1.507,1.555403,1.499205,1.543805,1.543805,0,,
01/03/2015,1.543805,1.544807,1.4637,1.480911,1.480911,0,,
01/04/2015,1.483393,1.549427,1.457365,1.542686,1.542686,0,,
01/05/2015,1.535579,1.581303,1.509183,1.53191,1.53191,0,,
01/06/2015,1.528795,1.593143,1.517451,1.573193,1.573193,0,,
01/07/2015,1.568997,1.571833,1.533907,1.560428,1.560428,0,,
01/08/2015,1.562305,1.581778,1.533978,1.541806,1.541806,0,,
01/09/2015,1.5365,1.565925,1.51103,1.515795,1.515795,0,,
01/10/2015,1.512287,1.550869,1.511259,1.5429,1.5429,0,,
01/11/2015,1.544211,1.549907,1.4997,1.503895,1.503895,0,,
01/12/2015,1.505775,1.522997,1.474491,1.481921,1.481921,0,,
01/01/2016,1.473839,1.481701,1.408848,1.424603,1.424603,0,,
01/02/2016,1.424481,1.466813,1.383892,1.386194,1.386194,0,,
01/03/2016,1.393107,1.451379,1.391401,1.437401,1.437401,0,,
01/04/2016,1.436637,1.466706,1.400756,1.46171,1.46171,0,,
01/05/2016,1.46171,1.476887,1.43361,1.463507,1.463507,0,,
01/06/2016,1.448499,1.494701,1.313146,1.346584,1.346584,0,,
01/07/2016,1.333369,1.348127,1.282808,1.321633,1.321633,0,,
01/08/2016,1.321929,1.33731,1.286836,1.309072,1.309072,0,,
01/09/2016,1.31337,1.344267,1.291656,1.296344,1.296344,0,,
01/10/2016,1.298196,1.298196,1.208868,1.221598,1.221598,0,,
01/11/2016,1.223541,1.267267,1.22115,1.249219,1.249219,0,,
01/12/2016,1.251517,1.277302,1.220256,1.234004,1.234004,0,,
01/01/2017,1.234004,1.267427,1.199127,1.25,1.25,0,,
01/02/2017,1.258701,1.270567,1.234842,1.243936,1.243936,0,,
01/03/2017,1.237946,1.261575,1.211328,1.247847,1.247847,0,,
01/04/2017,1.255304,1.295874,1.236812,1.293159,1.293159,0,,
01/05/2017,1.293226,1.304802,1.277172,1.280902,1.280902,0,,
01/06/2017,1.287548,1.303101,1.259081,1.301118,1.301118,0,,
01/07/2017,1.302915,1.319644,1.281263,1.314492,1.314492,0,,
01/08/2017,1.319784,1.326084,1.277743,1.292056,1.292056,0,,
01/09/2017,1.294013,1.361582,1.290622,1.339674,1.339674,0,,
01/10/2017,1.339674,1.340249,1.302898,1.321248,1.321248,0,,
01/11/2017,1.329116,1.354885,1.304155,1.341724,1.341724,0,,
01/12/2017,1.353107,1.355014,1.330814,1.351607,1.351607,0,,
01/01/2018,1.351607,1.433959,1.345931,1.415588,1.415588,0,,
01/02/2018,1.420011,1.427633,1.377771,1.390608,1.390608,0,,
01/03/2018,1.375308,1.424501,1.371535,1.401699,1.401699,0,,
01/04/2018,1.401699,1.437711,1.371667,1.377107,1.377107,0,,
01/05/2018,1.377221,1.3776,1.320777,1.328356,1.328356,0,,
01/06/2018,1.328904,1.347346,1.305193,1.321004,1.321004,0,,
01/07/2018,1.321004,1.336005,1.295908,1.313543,1.313543,0,,
01/08/2018,1.311837,1.314579,1.266336,1.301101,1.301101,0,,
01/09/2018,1.296193,1.32961,1.279329,1.303101,1.303101,0,,
01/10/2018,1.303951,1.325732,1.270245,1.27089,1.27089,0,,
01/11/2018,1.276552,1.317436,1.272734,1.278445,1.278445,0,,
01/12/2018,1.276308,1.283401,1.248128,1.269358,1.269358,0,,
01/01/2019,1.275022,1.321004,1.251878,1.311716,1.311716,0,,
01/02/2019,1.310925,1.334882,1.2774,1.331824,1.331824,0,,
01/03/2019,1.326489,1.333156,1.296227,1.304495,1.304495,0,,
01/04/2019,1.302185,1.319609,1.286703,1.293243,1.293243,0,,
01/05/2019,1.30407,1.317697,1.256013,1.26097,1.26097,0,,
01/06/2019,1.263903,1.278396,1.250719,1.269599,1.269599,0,,
01/07/2019,1.269374,1.27081,1.212106,1.21616,1.21616,0,,
01/08/2019,1.215466,1.230527,1.201923,1.215894,1.215894,0,,
01/09/2019,1.215894,1.258305,1.195943,1.229317,1.229317,0,,
01/10/2019,1.22906,1.30127,1.219929,1.290173,1.290173,0,,
01/11/2019,1.293862,1.298212,1.276976,1.293,1.293,0,,
01/12/2019,1.2929,1.350986,1.289807,1.311303,1.311303,0,,
01/01/2020,1.3254,1.3271,1.295673,1.3089,1.3089,0,,
01/02/2020,1.320749,1.320749,1.275445,1.281839,1.281839,0,,
01/03/2020,1.2823,1.319975,1.147684,1.237164,1.237164,0,,
01/04/2020,1.241157,1.263775,1.220733,1.247147,1.247147,0,,
01/05/2020,1.258099,1.258099,1.208605,1.234499,1.234499,0,,
01/06/2020,1.234537,1.280033,1.225415,1.231057,1.231057,0,,
01/07/2020,1.238866,1.316968,1.236033,1.311785,1.311785,0,,
01/08/2020,1.308599,1.339316,1.29842,1.335648,1.335648,0,,
01/09/2020,1.336505,1.348072,1.267957,1.286654,1.286654,0,,
01/10/2020,1.291823,1.317141,1.282298,1.294901,1.294901,0,,
01/11/2020,1.294601,1.33987,1.285678,1.333191,1.333191,0,,
01/12/2020,1.333725,1.368457,1.313698,1.363066,1.363066,0,,
01/01/2021,1.369,1.375989,1.345424,1.370601,1.370601,0,,
01/02/2021,1.369807,1.421707,1.357147,1.393,1.393,0,,
01/03/2021,1.397624,1.40111,1.367073,1.374665,1.374665,0,,
01/04/2021,1.378873,1.400953,1.367054,1.395284,1.395284,0,,
01/05/2021,1.382,1.423346,1.380548,1.418037,1.418037,0,,
01/06/2021,1.422758,1.424725,1.378721,1.384275,1.384275,0,,
01/07/2021,1.382762,1.398406,1.357368,1.390401,1.390401,0,,
01/08/2021,1.391001,1.395693,1.360359,1.376046,1.376046,0,,
01/09/2021,1.37537,1.391324,1.341742,1.342642,1.342642,0,,
01/10/2021,1.346965,1.383399,1.343634,1.369,1.369,0,,
01/11/2021,1.368644,1.369469,1.32062,1.331505,1.331505,0,,
01/12/2021,1.329593,1.354848,1.317402,1.349837,1.349837,0,,
01/01/2022,1.351985,1.374949,1.336059,1.340339,1.340339,0,,
01/02/2022,1.344267,1.364331,1.327598,1.337327,1.337327,0,,
01/03/2022,1.342282,1.343725,1.300136,1.313888,1.313888,0,,
01/04/2022,1.314579,1.31669,1.241403,1.257499,1.257499,0,,
01/05/2022,1.257499,1.266624,1.215717,1.264702,1.264702,0,,
01/06/2022,1.26097,1.261686,1.199213,1.226076,1.226076,0,,
27/06/2022,1.22549,1.232939,1.22549,1.228305,1.228305,0,,
